                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.43831,                0.37428,                0.91109,                0.99438,                0.99774,                  0.995,                0.87889,                0.53644,                0.30933,                0.91284,             0.00036324,             0.00036324,             0.00036324
                     82,                 0.4156,                0.34711,                0.89278,                0.99794,                0.99956,                  0.995,                0.87819,                0.56568,                0.31579,                0.92676,             0.00034674,             0.00034674,             0.00034674
                     83,                0.42576,                0.34359,                0.90019,                  0.996,                      1,                  0.995,                0.88563,                0.55786,                0.31147,                0.92877,             0.00033023,             0.00033023,             0.00033023
                     84,                0.43731,                0.35931,                 0.9037,                0.99557,                0.99962,                  0.995,                0.88654,                0.56233,                0.30627,                0.93072,             0.00031373,             0.00031373,             0.00031373
                     85,                0.44093,                0.36572,                 0.8998,                0.99586,                      1,                  0.995,                0.89539,                0.55554,                0.30465,                0.93078,             0.00029723,             0.00029723,             0.00029723
                     86,                0.43562,                0.37789,                0.89118,                0.99324,                      1,                  0.995,                0.88396,                0.55432,                0.30863,                0.92406,             0.00028072,             0.00028072,             0.00028072
                     87,                0.39967,                0.33705,                0.87708,                0.99009,                0.99897,                  0.995,                0.89118,                0.53252,                0.31025,                0.91356,             0.00026422,             0.00026422,             0.00026422
                     88,                0.42196,                0.34054,                0.89115,                0.98921,                0.99839,                  0.995,                0.90605,                0.52634,                0.29887,                0.90977,             0.00024772,             0.00024772,             0.00024772
                     89,                0.41365,                0.34759,                0.89128,                0.99243,                0.99849,                  0.995,                0.90358,                0.53097,                0.29151,                0.91229,             0.00023121,             0.00023121,             0.00023121
                     90,                 0.4022,                0.34497,                0.88514,                 0.9966,                0.99843,                  0.995,                 0.8934,                0.55283,                 0.2945,                0.91753,             0.00021471,             0.00021471,             0.00021471
                     91,                0.37303,                0.33073,                0.84034,                0.99807,                      1,                  0.995,                0.89226,                0.53037,                0.28799,                0.90904,             0.00019821,             0.00019821,             0.00019821
                     92,                0.38277,                0.31932,                0.83537,                0.99805,                      1,                  0.995,                0.89052,                0.54459,                0.31137,                0.92392,              0.0001817,              0.0001817,              0.0001817
                     93,                0.36881,                0.32859,                0.84474,                 0.9959,                      1,                  0.995,                0.88586,                0.57353,                0.30571,                0.93477,              0.0001652,              0.0001652,              0.0001652
                     94,                0.36059,                0.31474,                0.83547,                0.99324,                      1,                  0.995,                0.87944,                0.56867,                 0.2836,                0.94002,              0.0001487,              0.0001487,              0.0001487
                     95,                0.33963,                0.28627,                0.83178,                0.99343,                      1,                  0.995,                 0.8906,                0.54908,                0.27904,                0.93813,             0.00013219,             0.00013219,             0.00013219
                     96,                0.35363,                0.29021,                0.80507,                0.99243,                      1,                  0.995,                0.89502,                0.56647,                0.27452,                0.94372,             0.00011569,             0.00011569,             0.00011569
                     97,                 0.3353,                0.28959,                0.83604,                0.99119,                      1,                  0.995,                 0.8929,                0.57363,                  0.272,                0.94376,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.34613,                0.29638,                0.83415,                0.98975,                0.99936,                  0.995,                0.89417,                0.55676,                0.27292,                0.93754,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.33167,                0.29194,                0.83206,                0.99082,                      1,                  0.995,                0.89135,                0.54806,                0.27149,                0.93276,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.33627,                0.30056,                0.83008,                 0.9916,                      1,                  0.995,                0.89268,                0.54988,                0.27046,                0.93396,             4.9677e-05,             4.9677e-05,             4.9677e-05
